0.0289	0.1055
0.0207	0.1035
0.0256	0.1045
0.0530	0.0997
0.0151	0.0868
0.0353	0.1046
0.0336	0.0564
0.0495	0.1029
0.0372	0.1007
0.0334	0.1007
0.0150	0.0541
0.0295	0.0670
0.0369	0.1109
0.0775	0.0991
0.0468	0.1038
0.0068	0.0142
0.0345	0.1194
0.0382	0.1214
0.0335	0.1058
0.0362	0.1023
0.0635	0.1120
0.0194	0.0822
0.0303	0.1096
0.0232	0.0581
0.0174	0.0210
0.0184	0.0454
0.0206	0.0729
0.0193	0.0325
0.0234	0.0648
0.0342	0.1064
0.0282	0.0793
0.0306	0.0580
0.0253	0.0944
0.0188	0.0282
0.0227	0.0863
0.0209	0.0785
0.0293	0.0905
0.0305	0.0619
0.0274	0.1035
0.0149	0.1035
0.0178	0.0316
0.0163	0.1015
0.0272	0.0811
0.0263	0.1006
0.0537	0.0328
0.0296	0.1007
0.0245	0.0946
0.0294	0.0878
0.0268	0.1048
0.0285	0.0892
0.0223	0.0564
0.0280	0.0930
0.0253	0.0734
0.0409	0.0512
0.0223	0.0637
0.0255	0.0879
0.0343	0.0356
0.0154	0.1045
0.0236	0.0618
0.0172	0.1052
0.0168	0.0598
0.0238	0.1398
0.0190	0.0813
0.0240	0.1340
0.0216	0.0825
0.0251	0.1372
0.0162	0.0703
0.0197	0.1256
0.0233	0.0859
0.0222	0.0979
0.0267	0.1075
0.0183	0.0311
0.0170	0.0692
0.0275	0.1083
0.0177	0.0609
0.0250	0.0976
0.0231	0.0701
0.0275	0.0620
0.0215	0.0827
0.0264	0.0698
0.0198	0.0780
0.0285	0.0828
0.0238	0.0982
0.0245	0.0908
0.0268	0.0893
0.0198	0.0941
0.0197	0.0891
0.0177	0.0689
0.0146	0.0718
0.0395	0.1423
0.0190	0.0534
