R;G;B;I;output
147;154;88;129.6666667;1
113;118;125;118.6666667;1
113;118;138;123;1
182;213;138;177.6666667;1
182;201;213;198.6666667;1
182;201;200;194.3333333;1
182;213;213;202.6666667;1
113;130;75;106;1
113;130;88;110.3333333;1
113;130;150;131;1
199;201;100;166.6666667;1
156;166;175;165.6666667;1
156;166;100;140.6666667;1
156;178;100;144.6666667;1
147;154;150;150.3333333;1
147;154;75;125.3333333;1
147;154;75;125.3333333;1
113;118;163;131.3333333;1
121;118;163;134;1
164;178;175;172.3333333;1
156;178;175;169.6666667;1
130;130;163;141;1
121;130;163;138;1
173;189;138;166.6666667;1
173;178;138;163;1
173;178;213;188;1
173;189;225;195.6666667;1
173;189;138;166.6666667;1
113;83;113;103;1
113;95;113;107;1
138;142;125;135;1
138;142;138;139.3333333;1
138;130;125;131;1
104;95;100;99.66666667;1
104;95;113;104;1
113;95;113;107;1
121;107;100;109.3333333;1
121;118;100;113;1
138;142;63;114.3333333;1
138;142;63;114.3333333;1
130;142;63;111.6666667;1
138;142;138;139.3333333;1
138;130;163;143.6666667;2
138;130;150;139.3333333;2
147;130;138;138.3333333;1
164;166;150;160;1
182;189;163;178;1
182;189;175;182;1
182;189;150;173.6666667;1
182;201;188;190.3333333;1
173;201;188;187.3333333;1
190;201;188;193;1
199;225;200;208;1
182;201;188;190.3333333;1
87;95;138;106.6666667;1
87;95;150;110.6666667;1
199;213;138;183.3333333;1
199;201;138;179.3333333;1
104;107;175;128.6666667;1
104;107;188;133;1
113;118;188;139.6666667;1
156;178;100;144.6666667;1
156;178;175;169.6666667;1
147;178;88;137.6666667;1
173;178;75;142;1
173;178;88;146.3333333;1
173;178;163;171.3333333;1
190;189;88;155.6666667;1
147;154;125;142;1
147;154;125;142;1
147;154;113;138;1
164;166;138;156;1
121;95;150;122;1
121;118;138;125.6666667;1
130;130;63;107.6666667;1
138;142;63;114.3333333;1
130;142;63;111.6666667;1
130;130;138;132.6666667;1
156;178;113;149;1
156;166;113;145;1
156;166;188;170;1
130;142;63;111.6666667;1
130;142;63;111.6666667;1
130;142;63;111.6666667;1
156;178;113;149;1
156;166;113;145;1
156;166;188;170;1
156;178;113;149;1
156;166;113;145;1
156;166;188;170;1
