I;H;S;output
93.66666667;1.113210306;0.466192171;1
104.6666667;1.171264691;0.398089172;1
143.3333333;1.192248217;0.386046512;1
144.6666667;1.324250748;0.30875576;1
164.3333333;1.76092193;0.00811359;1
164.3333333;1.76092193;0.00811359;1
139.3333333;1.069687925;0.368421053;1
140.6666667;1.283850058;0.374407583;1
130.6666667;1.339778945;0.234693878;1
130.6666667;1.339778945;0.234693878;1
154.6666667;2.545949997;0.049568966;1
129.6666667;1.143889926;0.321336761;1
118.6666667;2.522064185;0.047752809;1
123;2.284520706;0.081300813;1
177.6666667;1.471054361;0.22326454;1
198.6666667;2.747632141;0.083892617;1
194.3333333;3.094814619;0.063464837;1
202.6666667;3.141592654;0.101973684;1
106;1.353823675;0.29245283;1
110.3333333;1.461264979;0.202416918;1
131;2.571215844;0.13740458;1
166.6666667;1.064516328;0.4;1
165.6666667;2.648371387;0.058350101;1
140.6666667;1.188226448;0.289099526;1
144.6666667;1.324250748;0.30875576;1
150.3333333;2.535701535;0.022172949;1
125.3333333;1.127319408;0.401595745;1
125.3333333;1.127319408;0.401595745;1
131.3333333;2.185304401;0.139593909;1
134;2.034740079;0.119402985;1
172.3333333;2.936664278;0.048355899;1
169.6666667;3.015529299;0.080550098;1
141;2.094395102;0.078014184;1
138;2.299323477;0.123188406;1
166.6666667;1.358932925;0.172;1
163;1.162158472;0.153374233;1
188;2.209356023;0.079787234;1
195.6666667;2.399481626;0.115843271;1
166.6666667;1.358932925;0.172;1
103;1.047197551;0.194174757;1
107;1.047197551;0.112149533;1
135;1.27415863;0.074074074;1
139.3333333;2.094395102;0.009569378;1
131;0.391144177;0.045801527;1
99.66666667;0.587661025;0.046822742;1
104;1.570796327;0.086538462;1
107;1.047197551;0.112149533;1
109.3333333;0.333473172;0.085365854;1
113;0.914742953;0.115044248;1
114.3333333;1.092155569;0.448979592;1
114.3333333;1.092155569;0.448979592;1
111.6666667;1.188607706;0.435820896;1
139.3333333;2.094395102;0.009569378;1
143.6666667;1.859887104;0.09512761;2
139.3333333;1.685757247;0.066985646;2
138.3333333;0.489650043;0.060240964;1
160;1.162158472;0.0625;1
178;1.310378156;0.084269663;1
182;1.570796327;0.038461538;1
173.6666667;1.216331683;0.136276392;1
190.3333333;2.408409486;0.043782837;1
187.3333333;2.659209828;0.076512456;1
193;1.951047533;0.025906736;1
208;2.128343835;0.043269231;1
190.3333333;2.408409486;0.043782837;1
106.6666667;2.240749695;0.184375;1
110.6666667;2.211286958;0.213855422;1
183.3333333;1.223642722;0.247272727;1
179.3333333;1.07512659;0.230483271;1
128.6666667;2.131760095;0.191709845;1
133;2.125876531;0.218045113;1
139.6666667;2.154050126;0.190930788;1
144.6666667;1.324250748;0.30875576;1
169.6666667;3.015529299;0.080550098;1
137.6666667;1.393071406;0.360774818;1
142;1.09025676;0.471830986;1
146.3333333;1.096644379;0.398633257;1
171.3333333;1.380670723;0.048638132;1
155.6666667;1.038665488;0.434689507;1
142;1.280597392;0.11971831;1
142;1.280597392;0.11971831;1
138;1.207469082;0.18115942;1
156;1.1112598;0.115384615;1
122;1.602277755;0.221311475;1
125.6666667;1.954871027;0.061007958;1
107.6666667;1.047197551;0.414860681;1
114.3333333;1.092155569;0.448979592;1
111.6666667;1.188607706;0.435820896;1
132.6666667;2.094395102;0.020100503;1
149;1.386387;0.241610738;1
145;1.225699176;0.220689655;1
170;2.404778368;0.082352941;1
111.6666667;1.188607706;0.435820896;1
111.6666667;1.188607706;0.435820896;1
111.6666667;1.188607706;0.435820896;1
149;1.386387;0.241610738;1
145;1.225699176;0.220689655;1
170;2.404778368;0.082352941;1
149;1.386387;0.241610738;1
145;1.225699176;0.220689655;1
170;2.404778368;0.082352941;1
149;1.386387;0.241610738;1
145;1.225699176;0.220689655;1
170;2.404778368;0.082352941;1
180.6666667;0.892861327;0.308118081;2
116.3333333;0.559222604;0.35530086;2
137.6666667;0.934714524;0.222760291;2
169.6666667;0.989251224;0.410609037;1
141;1.893376529;0.163120567;2
137;1.833976932;0.138686131;2
142.3333333;0.459536526;0.030444965;2
138.3333333;0.489650043;0.060240964;2
142.3333333;1.186721627;0.086651054;2
146.3333333;1.427448758;0.029612756;2
138;2.047617068;0.144927536;2
139.6666667;1.634858576;0.155131265;2
133.3333333;1.673531615;0.1975;2
132.6666667;1.714143896;0.110552764;2
137;1.833976932;0.138686131;2
137;1.833976932;0.138686131;2
138;0.828685299;0.094202899;2
135.3333333;1.427448758;0.128078818;2
142.3333333;1.186721627;0.086651054;2
158;0.367421905;0.126582278;2
155;0.474151948;0.109677419;2
151;0.104589731;0.086092715;2
156;0.281034902;0.038461538;2
163;0.745788401;0.079754601;2
159;0.163484972;0.056603774;2
149.3333333;0.605891119;0.049107143;2
153.6666667;1.380670723;0.075921909;2
146.3333333;1.427448758;0.029612756;2
149.3333333;0.605891119;0.049107143;2
153.3333333;0.713724379;0.02173913;2
149.3333333;0.945662574;0.075892857;2
152;0.939364291;0.421052632;2
159.6666667;1.037521592;0.373695198;2
119.3333333;0.183489491;0.103351955;2
116.6666667;0.254187853;0.082857143;2
126;0.136608174;0.103174603;2
130;0.233399841;0.092307692;2
126.3333333;0.465927771;0.153034301;2
133;0.173939626;0.112781955;2
129.3333333;0.371605578;0.172680412;2
152;0.656053374;0.092105263;2
149.3333333;0.945662574;0.075892857;2
145.3333333;0.21321551;0.050458716;2
141;0.579413351;0.113475177;2
145;0.989526546;0.137931034;2
152;0.656053374;0.092105263;2
147.6666667;0.797787733;0.153498871;2
152;0.656053374;0.092105263;2
147.6666667;0.797787733;0.153498871;2
121.3333333;1.65308867;0.027472527;2
149.3333333;0.605891119;0.049107143;2
146.3333333;1.427448758;0.029612756;2
145.3333333;0.21321551;0.050458716;2
142.3333333;0.459536526;0.030444965;2
127;0.352095222;0.070866142;2
124.3333333;0.619528469;0.050938338;2
131;0.391144177;0.045801527;2
134;0.218512252;0.067164179;2
163;0.745788401;0.079754601;2
159;0.857071948;0.132075472;2
147.6666667;0.797787733;0.153498871;2
141;0.579413351;0.113475177;2
145.3333333;0.21321551;0.050458716;2
141;1.005981601;0.19858156;2
141;1.005981601;0.19858156;2
141;1.005981601;0.19858156;2
129.3333333;0.371605578;0.172680412;2
121;0.114960921;0.173553719;2
168.6666667;0.825007926;0.181818182;2
120.6666667;0.455779384;0.270718232;2
148.3333333;0.38208795;0.238202247;3
133.3333333;0.210380737;0.25;3
169;0.242563874;0.088757396;3
164.6666667;0.090909298;0.089068826;3
174.6666667;0.270343637;0.141221374;3
144.3333333;0.088268983;0.182448037;3
140.3333333;0.058057192;0.194774347;3
148.3333333;0.069171499;0.157303371;3
151.3333333;0.06048734;0.174008811;3
152.6666667;0.123092435;0.148471616;3
176;0.075164683;0.073863636;3
179;0.059655024;0.089385475;3
138.6666667;0.278445893;0.185096154;3
134.6666667;0.075164683;0.160891089;3
145.6666667;0.07928532;0.14187643;3
141.6666667;0.238706319;0.202352941;3
147.3333333;0.187729964;0.233031674;3
140.3333333;0.058057192;0.194774347;3
136;0.190125603;0.264705882;3
129.6666667;0.077072225;0.228791774;3
134;0.072043881;0.201492537;3
126.6666667;0.087005372;0.210526316;3
137.6666667;0.065022898;0.179176755;3
172;0.190125603;0.104651163;3
151;0.576037046;0.337748344;3
135.6666667;0.61869934;0.447174447;3
134.6666667;0.075164683;0.160891089;3
134.6666667;0.075164683;0.160891089;3
138.6666667;0.117172987;0.149038462;3
123.6666667;0.099867942;0.191374663;3
137.3333333;0.369921251;0.27184466;3
134.3333333;0.421142985;0.255583127;3
156.3333333;0.461502529;0.200426439;3
144;0.691803197;0.388888889;3
144;0.485127748;0.305555556;3
130.3333333;0.238917468;0.232736573;3
127.3333333;0.276183257;0.214659686;3
123.6666667;0.099867942;0.191374663;3
164.6666667;0.56798117;0.16194332;3
160.3333333;0.673465891;0.22037422;3
160.3333333;0.673465891;0.22037422;3
141.3333333;0.537679559;0.29245283;3
145.6666667;0.431816028;0.224256293;3
134.6666667;0.616723535;0.532178218;3
135.6666667;0.61869934;0.447174447;3
138.6666667;0.570125679;0.459134615;3
159.3333333;0.735894938;0.529288703;3
141.6666667;0.669870451;0.555294118;3
