R;G;B;output
147;130;125;2
173;166;150;2
173;166;138;2
164;154;125;2
156;142;125;2
156;142;138;2
156;154;113;2
156;154;113;2
156;154;113;2
156;107;125;2
156;107;100;2
190;178;138;2
156;118;88;2
190;142;113;3
182;118;100;3
190;154;163;3
190;154;150;3
208;166;150;3
190;118;125;3
190;118;113;3
190;130;125;3
199;130;125;3
190;130;138;3
199;166;163;3
208;166;163;3
173;130;113;3
173;118;113;3
182;130;125;3
182;130;113;3
199;130;113;3
190;118;113;3
190;118;100;3
182;107;100;3
182;107;113;3
173;107;100;3
182;118;113;3
199;154;163;3
199;154;100;3
190;142;75;3
173;118;113;3
173;118;113;3
173;118;125;3
164;107;100;3
182;130;100;3
173;130;100;3
190;154;125;3
190;154;88;3
190;142;100;3
173;118;100;3
164;118;100;3
164;107;100;3
190;166;138;3
190;166;125;3
190;166;125;3
182;142;100;3
182;142;113;3
199;142;63;3
190;142;75;3
199;142;75;3
225;178;75;3
208;154;63;3
208;154;50;3
182;130;50;3
182;130;63;3
164;107;50;3
173;118;50;3
199;154;63;3
199;142;63;3
199;154;50;3
216;166;63;3
208;166;63;3
208;154;63;3
182;130;63;3
190;130;63;3
173;107;50;3
164;107;50;3
173;118;50;3
164;118;75;3
164;118;75;3
164;118;75;3
