R;G;B;I;H;S;output
26;59;75;53.33333333;2.815682878;0.5125;0
26;59;63;49.33333333;3.042939617;0.472972973;0
43;12;100;51.66666667;1.739750879;0.767741935;0
0;36;38;24.66666667;3.094814619;1;0
43;24;25;30.66666667;0.046778034;0.217391304;0
43;83;113;79.66666667;2.700286221;0.460251046;0
87;71;113;90.33333333;1.7074045;0.21402214;0
87;71;113;90.33333333;1.7074045;0.21402214;0
87;71;100;86;1.511141303;0.174418605;0
69;59;88;72;1.748092628;0.180555556;0
78;83;25;62;1.125060126;0.596774194;0
87;83;25;65;0.989526546;0.615384615;0
95;83;50;76;0.786779381;0.342105263;0
61;95;125;93.66666667;2.65406262;0.348754448;0
61;95;63;73;2.146833373;0.164383562;0
61;95;138;98;2.550613536;0.37755102;0
52;95;138;95;2.617993878;0.452631579;0
121;130;63;104.6666667;1.171264691;0.398089172;0
78;118;63;86.33333333;1.827440984;0.27027027;0
78;118;13;69.66666667;1.434188153;0.813397129;0
78;107;138;107.6666667;2.598751244;0.275541796;0
9;47;63;39.66666667;2.84901126;0.773109244;0
0;47;63;36.66666667;2.894793962;1;0
0;47;125;57.33333333;2.475777629;1;0
9;47;125;60.33333333;2.42147703;0.850828729;0
9;47;63;39.66666667;2.84901126;0.773109244;0
9;59;63;43.66666667;3.0750736;0.79389313;0
9;47;125;60.33333333;2.42147703;0.850828729;0
9;59;50;39.33333333;2.971937604;0.771186441;0
35;95;88;72.66666667;3.034706387;0.518348624;0
26;95;88;69.66666667;3.049303236;0.626794258;0
35;95;75;68.33333333;2.808119481;0.487804878;0
35;83;163;93.66666667;2.474646309;0.62633452;0
17;71;88;58.66666667;2.9102511;0.710227273;0
17;71;75;54.33333333;3.079812417;0.687116564;0
26;83;88;65.66666667;3.068945481;0.604060914;0
26;71;88;61.66666667;2.873053861;0.578378378;0
26;71;75;57.33333333;3.068021392;0.546511628;0
52;95;75;74;2.658252366;0.297297297;0
52;95;63;70;2.343166964;0.257142857;0
43;95;63;67;2.48553928;0.358208955;0
